genotype,consensus,region,threshold,score
2a,0.25,ns4b,N/A,N/A
2a,0.25,ns5a,N/A,N/A
2a,0.25,ns5b,N/A,N/A
2a,0.25,p7,N/A,N/A
2a,0.25,whole,N/A,N/A
2a,0.2,core,N/A,N/A
2a,0.2,e1,N/A,N/A
2a,0.2,e2,N/A,N/A
2a,0.2,ns2,N/A,N/A
2a,0.2,ns3,N/A,N/A
2a,0.2,ns4a,N/A,N/A
2a,0.2,ns4b,N/A,N/A
2a,0.2,ns5a,N/A,N/A
2a,0.2,ns5b,N/A,N/A
2a,0.2,p7,N/A,N/A
2a,0.2,whole,N/A,N/A
2b,0.01,core,N/A,N/A
2b,0.01,e1,N/A,N/A
2b,0.01,e2,N/A,N/A
2b,0.01,ns2,N/A,N/A
2b,0.01,ns3,N/A,N/A
2b,0.01,ns4a,N/A,N/A
2b,0.01,ns4b,N/A,N/A
2b,0.01,ns5a,N/A,N/A
2b,0.01,ns5b,N/A,N/A
2b,0.01,p7,N/A,N/A
2b,0.01,whole,N/A,N/A
2b,0.02,core,N/A,N/A
2b,0.02,e1,N/A,N/A
2b,0.02,e2,N/A,N/A
2b,0.02,ns2,N/A,N/A
2b,0.02,ns3,N/A,N/A
2b,0.02,ns4a,N/A,N/A
2b,0.02,ns4b,N/A,N/A
2b,0.02,ns5a,N/A,N/A
2b,0.02,ns5b,N/A,N/A
2b,0.02,p7,N/A,N/A
2b,0.02,whole,N/A,N/A
2b,0.05,core,N/A,N/A
2b,0.05,e1,N/A,N/A
2b,0.05,e2,N/A,N/A
2b,0.05,ns2,N/A,N/A
2b,0.05,ns3,N/A,N/A
2b,0.05,ns4a,N/A,N/A
2b,0.05,ns4b,N/A,N/A
2b,0.05,ns5a,N/A,N/A
2b,0.05,ns5b,N/A,N/A
2b,0.05,p7,N/A,N/A
2b,0.05,whole,N/A,N/A
2b,0.1,core,N/A,N/A
2b,0.1,e1,N/A,N/A
2b,0.1,e2,N/A,N/A
2b,0.1,ns2,N/A,N/A
2b,0.1,ns3,N/A,N/A
2b,0.1,ns4a,N/A,N/A
2b,0.1,ns4b,N/A,N/A
2b,0.1,ns5a,N/A,N/A
2b,0.1,ns5b,N/A,N/A
2b,0.1,p7,N/A,N/A
2b,0.1,whole,N/A,N/A
2b,0.25,core,N/A,N/A
2b,0.25,e1,N/A,N/A
2b,0.25,e2,N/A,N/A
2b,0.25,ns2,N/A,N/A
2b,0.25,ns3,N/A,N/A
2b,0.25,ns4a,N/A,N/A
2b,0.25,ns4b,N/A,N/A
2b,0.25,ns5a,N/A,N/A
2b,0.25,ns5b,N/A,N/A
2b,0.25,p7,N/A,N/A
2b,0.25,whole,N/A,N/A
2b,0.2,core,N/A,N/A
2b,0.2,e1,N/A,N/A
2b,0.2,e2,N/A,N/A
2b,0.2,ns2,N/A,N/A
2b,0.2,ns3,N/A,N/A
2b,0.2,ns4a,N/A,N/A
2b,0.2,ns4b,N/A,N/A
2b,0.2,ns5a,N/A,N/A
2b,0.2,ns5b,N/A,N/A
2b,0.2,p7,N/A,N/A
2b,0.2,whole,N/A,N/A
3a,0.01,core,N/A,N/A
3a,0.01,e1,N/A,N/A
3a,0.01,e2,N/A,N/A
3a,0.01,ns2,N/A,N/A
3a,0.01,ns3,N/A,N/A
3a,0.01,ns4a,N/A,N/A
3a,0.01,ns4b,N/A,N/A
3a,0.01,ns5a,N/A,N/A
3a,0.01,ns5b,N/A,N/A
3a,0.01,p7,N/A,N/A
3a,0.01,whole,N/A,N/A
3a,0.02,core,N/A,N/A
3a,0.02,e1,N/A,N/A
3a,0.02,e2,N/A,N/A
3a,0.02,ns2,N/A,N/A
3a,0.02,ns3,N/A,N/A
3a,0.02,ns4a,N/A,N/A
3a,0.02,ns4b,N/A,N/A
3a,0.02,ns5a,N/A,N/A
3a,0.02,ns5b,N/A,N/A
3a,0.02,p7,N/A,N/A
3a,0.02,whole,N/A,N/A
3a,0.05,core,N/A,N/A
3a,0.05,e1,N/A,N/A
3a,0.05,e2,N/A,N/A
3a,0.05,ns2,N/A,N/A
3a,0.05,ns3,N/A,N/A
3a,0.05,ns4a,N/A,N/A
3a,0.05,ns4b,N/A,N/A
3a,0.05,ns5a,N/A,N/A
3a,0.05,ns5b,N/A,N/A
3a,0.05,p7,N/A,N/A
3a,0.05,whole,N/A,N/A
3a,0.1,core,N/A,N/A
3a,0.1,e1,N/A,N/A
3a,0.1,e2,N/A,N/A
3a,0.1,ns2,N/A,N/A
3a,0.1,ns3,N/A,N/A
3a,0.1,ns4a,N/A,N/A
3a,0.1,ns4b,N/A,N/A
3a,0.1,ns5a,N/A,N/A
3a,0.1,ns5b,N/A,N/A
3a,0.1,p7,N/A,N/A
3a,0.1,whole,N/A,N/A
3a,0.25,core,N/A,N/A
3a,0.25,e1,N/A,N/A
3a,0.25,e2,N/A,N/A
3a,0.25,ns2,N/A,N/A
3a,0.25,ns3,N/A,N/A
3a,0.25,ns4a,N/A,N/A
3a,0.25,ns4b,N/A,N/A
3a,0.25,ns5a,N/A,N/A
3a,0.25,ns5b,N/A,N/A
3a,0.25,p7,N/A,N/A
3a,0.25,whole,N/A,N/A
3a,0.2,core,N/A,N/A
3a,0.2,e1,N/A,N/A
3a,0.2,e2,N/A,N/A
3a,0.2,ns2,N/A,N/A
3a,0.2,ns3,N/A,N/A
3a,0.2,ns4a,N/A,N/A
3a,0.2,ns4b,N/A,N/A
3a,0.2,ns5a,N/A,N/A
3a,0.2,ns5b,N/A,N/A
3a,0.2,p7,N/A,N/A
3a,0.2,whole,N/A,N/A
4d,0.01,core,N/A,N/A
4d,0.01,e1,N/A,N/A
4d,0.01,e2,N/A,N/A
4d,0.01,ns2,N/A,N/A
4d,0.01,ns3,N/A,N/A
4d,0.01,ns4a,N/A,N/A
4d,0.01,ns4b,N/A,N/A
4d,0.01,ns5a,N/A,N/A
4d,0.01,ns5b,N/A,N/A
4d,0.01,p7,N/A,N/A
4d,0.01,whole,N/A,N/A
4d,0.02,core,N/A,N/A
4d,0.02,e1,N/A,N/A
4d,0.02,e2,N/A,N/A
4d,0.02,ns2,N/A,N/A
4d,0.02,ns3,N/A,N/A
4d,0.02,ns4a,N/A,N/A
4d,0.02,ns4b,N/A,N/A
4d,0.02,ns5a,N/A,N/A
4d,0.02,ns5b,N/A,N/A
4d,0.02,p7,N/A,N/A
4d,0.02,whole,N/A,N/A
4d,0.05,core,N/A,N/A
4d,0.05,e1,N/A,N/A
4d,0.05,e2,N/A,N/A
4d,0.05,ns2,N/A,N/A
4d,0.05,ns3,N/A,N/A
4d,0.05,ns4a,N/A,N/A
4d,0.05,ns4b,N/A,N/A
4d,0.05,ns5a,N/A,N/A
4d,0.05,ns5b,N/A,N/A
4d,0.05,p7,N/A,N/A
4d,0.05,whole,N/A,N/A
4d,0.1,core,N/A,N/A
4d,0.1,e1,N/A,N/A
4d,0.1,e2,N/A,N/A
4d,0.1,ns2,N/A,N/A
4d,0.1,ns3,N/A,N/A
4d,0.1,ns4a,N/A,N/A
4d,0.1,ns4b,N/A,N/A
4d,0.1,ns5a,N/A,N/A
4d,0.1,ns5b,N/A,N/A
4d,0.1,p7,N/A,N/A
4d,0.1,whole,N/A,N/A
4d,0.25,core,N/A,N/A
4d,0.25,e1,N/A,N/A
4d,0.25,e2,N/A,N/A
4d,0.25,ns2,N/A,N/A
4d,0.25,ns3,N/A,N/A
4d,0.25,ns4a,N/A,N/A
4d,0.25,ns4b,N/A,N/A
4d,0.25,ns5a,N/A,N/A
4d,0.25,ns5b,N/A,N/A
4d,0.25,p7,N/A,N/A
4d,0.25,whole,N/A,N/A
4d,0.2,core,N/A,N/A
4d,0.2,e1,N/A,N/A
4d,0.2,e2,N/A,N/A
4d,0.2,ns2,N/A,N/A
4d,0.2,ns3,N/A,N/A
4d,0.2,ns4a,N/A,N/A
4d,0.2,ns4b,N/A,N/A
4d,0.2,ns5a,N/A,N/A
4d,0.2,ns5b,N/A,N/A
4d,0.2,p7,N/A,N/A
4d,0.2,whole,N/A,N/A
